"country_name","date","data_type","country","dalton","left_ideology","right_ideology"
"Croatia","2019-04-01","ewma","5.63734402908806","4.39082497343018","2.98132017032981","8.26156732457332"
"Croatia","2019-04-01","real","5.63734402908806","4.39082497343018","2.98132017032981","8.26156732457332"
"Croatia","2019-04-15","ewma","5.62474734603474","4.39073102637432","3.02845868282729","8.26252028838690"
"Croatia","2019-04-15","real","5.55546558924148","4.39021431756707","3.28772050156343","8.26776158936161"
"Croatia","2019-05-01","ewma","5.63005313428537","4.38965911738457","3.04122377479684","8.25959438098724"
"Croatia","2019-05-01","real","5.65923496966384","4.38376361794096","3.11143178062932","8.24350189028907"
"Croatia","2019-05-15","ewma","5.64534553182188","4.39065371997492","3.07740040980821","8.25535198650104"
"Croatia","2019-05-15","real","5.72945371827268","4.39612403422186","3.27637190237079","8.23201881682695"
"Croatia","2019-06-01","ewma","5.66370531076478","4.38168156294284","3.12381215859836","8.25603277164897"
"Croatia","2019-06-01","real","5.76468409495074","4.33233469926640","3.37907677694418","8.25977708996256"
"Croatia","2019-06-15","ewma","5.66816554401546","4.37358773474808","3.11953395127876","8.25437978706613"
"Croatia","2019-06-15","real","5.69269682689420","4.32907167967690","3.09600381102092","8.24528837186052"
"Croatia","2019-07-01","ewma","5.65370664212577","4.36294689268019","3.12654271818171","8.25197561713590"
"Croatia","2019-07-01","real","5.57418268173248","4.30442226130676","3.16509093614796","8.23875268251962"
"Croatia","2019-07-15","ewma","5.62717487253482","4.33129204901207","3.15425501804177","8.22403565675984"
"Croatia","2019-07-15","real","5.48125013978459","4.15719040883746","3.30667266727210","8.07036587469156"
"Croatia","2019-08-01","ewma","5.61827423571564","4.29080063787994","3.18843279847514","8.16686547564315"
"Croatia","2019-08-01","real","5.56932073321015","4.06809787665323","3.37641059085869","7.85242947950131"
"Croatia","2019-08-15","ewma","5.56681954287780","4.28197507000047","3.19605461075515","8.11297651364072"
"Croatia","2019-08-15","real","5.28381873226967","4.23343444666337","3.23797457829520","7.81658722262738"
"Croatia","2019-09-01","ewma","5.52459933603401","4.15742613760698","3.19140211351069","8.06320627479716"
"Croatia","2019-09-01","real","5.29238819839317","3.47240700944275","3.16581337866616","7.78946996115758"
"Croatia","2019-09-15","ewma","5.52539197651584","4.10900654154277","3.21122409782417","8.00342378464506"
"Croatia","2019-09-15","real","5.52975149916590","3.84269876318963","3.32024501154827","7.67462008880854"
"Croatia","2019-10-01","ewma","5.52426121037731","4.09642375569931","3.16755411608221","7.93050697279685"
"Croatia","2019-10-01","real","5.51804199661536","4.02721843356030","2.92736921650148","7.52946450763165"
"Croatia","2019-10-15","ewma","5.52332244273974","4.10992000840152","3.15287446342038","7.88258337268750"
"Croatia","2019-10-15","real","5.51815922073311","4.18414939826369","3.07213637378028","7.61900357208610"
"Croatia","2019-11-01","ewma","5.53763416629319","4.13139305920081","3.23833363717483","7.84908645602781"
"Croatia","2019-11-01","real","5.61634864583718","4.24949483859686","3.70835909282430","7.66485341439955"
"Croatia","2019-11-15","ewma","5.56938023144044","4.13765291636372","3.37064618559869","7.82494558267848"
"Croatia","2019-11-15","real","5.74398358975029","4.17208213075972","4.09836520192992","7.69217077925712"
"Croatia","2019-12-01","ewma","5.58333393037421","4.12915057329040","3.36898720484439","7.81045249464569"
"Croatia","2019-12-01","real","5.66007927450996","4.08238768638713","3.35986281069577","7.73074051046537"
"Croatia","2019-12-15","ewma","5.59287431915070","4.12827580336775","3.35895657186995","7.79103876317768"
"Croatia","2019-12-15","real","5.64534645742140","4.12346456879323","3.30378809051055","7.68426324010360"
"Croatia","2020-01-01","ewma","5.59669200578322","4.12852467889699","3.38677966942085","7.75260226747427"
"Croatia","2020-01-01","real","5.61768928226206","4.12989349430776","3.53980670595080","7.54120154110553"
"Croatia","2020-01-15","ewma","5.57586434079702","4.13068008799735","3.31458352476254","7.71446546531783"
"Croatia","2020-01-15","real","5.46131218337292","4.14253483804938","2.91750472914178","7.50471305345740"
"Croatia","2020-02-01","ewma","5.55963194297000","4.12617469168894","3.33809472988528","7.69422435044397"
"Croatia","2020-02-01","real","5.47035375492142","4.10139501199265","3.46740635806041","7.58289821863772"
"Croatia","2020-02-15","ewma","5.54316497518131","4.15617463082483","3.33607246603453","7.68845404176839"
"Croatia","2020-02-15","real","5.45259665234347","4.32117429607223","3.32495001485539","7.65671734405273"
"Croatia","2020-03-01","ewma","5.52824688548020","4.18651123841526","3.24534462385368","7.75915188649115"
"Croatia","2020-03-01","real","5.44619739212410","4.35336258016265","2.74634149185900","8.14799003246630"
"Croatia","2020-03-15","ewma","5.52048698250185","4.22331663523488","3.18791235360519","7.83929863413164"
"Croatia","2020-03-15","real","5.47780751612093","4.42574631774281","2.87203486723848","8.28010574615439"
"Croatia","2020-04-01","ewma","5.53365367587163","4.21376818868941","3.20630315826060","7.90641073724725"
"Croatia","2020-04-01","real","5.60607048940544","4.16125173268931","3.30745258386535","8.27552730438308"
"Croatia","2020-04-15","ewma","5.54783957150429","4.22283282748618","3.23542873946443","7.95203383004911"
"Croatia","2020-04-15","real","5.62586199748392","4.27268834086838","3.39561943608552","8.20296084045935"
"Croatia","2020-05-01","ewma","5.56181682331792","4.21759242699854","3.26995854604842","7.98793883861392"
"Croatia","2020-05-01","real","5.63869170829284","4.18877022431653","3.45987248226038","8.18541638572033"
"Croatia","2020-05-15","ewma","5.55745142217429","4.20646625493359","3.27850299990747","8.00386677212198"
"Croatia","2020-05-15","real","5.53344171588433","4.14527230857640","3.32549749613225","8.09147040641632"
